RDKIT_SMILES,First_Class,Second_Class
OCc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[Si](F)(O[Si](F)(F)O[Si](F)(F)F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
FC(F)=C(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,Other aliphatics,Others
CCC(OC(=O)O)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCC(=CC([SnH])CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCC(=CC([SnH])CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
OB(O)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(CCC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
OCCOCCCC(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(I)CC(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(I)CC(CC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
CCN(CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
CCC(N)C(O)C(F)(F)C(F)(F)F,Other aliphatics,Others
CO[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
C=C(Cl)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FCOC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,PACF-based substances
FC(F)(Cl)C(F)(Cl)Oc1ccccc1,PFAS derivatives,PFAS halogen derivatives
O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ON1C(=O)CCC1=O,"Other aliphatics, cyclic","Others, cyclic"
O=C(N=NC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(C=CC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(Cl)(I)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(Cl)(Cl)Cl,Other aliphatics,Others
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(Cl)(Cl)Cl,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(Cl)Br,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(Cl)I,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Br,Other aliphatics,Others
O=C(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)I,Other aliphatics,Others
N#CC(F)=C(F)C(F)(C#N)C(F)(F)F,Other aliphatics,Others
Cc1ccc(C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
COC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
COC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
COC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
COC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
N#Cc1ccc(OC(=O)c2ccc(C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,Side-chain aromatics,Others
N#Cc1ccc(OC(=O)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,Side-chain aromatics,Others
N#Cc1ccc(OC(=O)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,Side-chain aromatics,Others
N#Cc1ccc(OC(=O)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,Side-chain aromatics,Others
COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)F)CC1,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,"Other aliphatics, cyclic","Others, cyclic"
O=C1c2cc(F)c(F)cc2C(F)(F)C1(F)Br,Side-chain aromatics,Others
Fc1cc2c(cc1F)C(F)(F)C(F)(Cl)C2(F)F,Side-chain aromatics,Others
FC(F)(I)C(F)(F)Oc1ccccc1,Side-chain aromatics,Others
O=C(Oc1c(Cl)cc(Cl)cc1Cl)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
O=C(Oc1c(Cl)cc(Cl)c(Cl)c1Cl)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
O=C(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
CCCC=CC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC(C)C=CC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCCC=CC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(C=CC1CCCCC1)C(F)(F)C(F)(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C(C=Cc1ccccc1)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
CC=CC=CC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCCC=CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(C=Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
FC(F)(F)C1(F)CC(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
Oc1ccc(OC(F)(F)C(F)(F)Cl)cc1Cl,Side-chain aromatics,Others
OC(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC1(F)c2nnnn2C(F)(F)C(F)(F)C1(F)F,Side-chain aromatics,Others
FC(=NBr)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(=NBr)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(C(F)(F)Br)C(F)(F)Br,Other aliphatics,Others
C[Si](C)(C)C(Br)=CC(F)(Cl)C(F)(F)Br,PFAS derivatives,PFAS halogen derivatives
OCCC(I)=CC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C1OCCC1=CC(F)(F)C(F)(F)C(F)(F)F,"Other aliphatics, cyclic","Others, cyclic"
CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)N1CCCC1,"Other aliphatics, cyclic","Others, cyclic"
CCCCCCC(F)(C(F)(F)F)C(F)(F)C(C)(C)O,Other aliphatics,Others
CNC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
NS(=O)(=O)c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
Oc1cccc(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)c1,Side-chain aromatics,Others
CC(O)C(F)=CC(F)(F)C(F)(F)F,Other aliphatics,Others
FC(=C(C(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
C=COCCC(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
O=C(Oc1ccccc1-c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
OCCOC(F)(F)C(F)(F)F,Other aliphatics,Others
CC(C)(C)OOC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
CC(O)CC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
NC(=CC(=O)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F,Other aliphatics,Others
CCCCCCCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC(=O)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCC=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCOC(=O)C(F)(F)C(F)(F)C(=O)F,Other aliphatics,PACF-based substances
FC1=C2N(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C2(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
[N-]=[N+]=NC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CC(Br)C(O)(CBr)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
Cc1ccc2nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc2c1,Side-chain aromatics,Others
OC(CBr)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=CC(=O)OCCN(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(O)C(O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(C(F)(F)C(F)(F)I)C(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(C(Cl)C(F)(Cl)Cl)C(F)(F)C(F)(F)C(F)C(F)(Cl)C(F)(Cl)Cl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Side-chain aromatics,Others
CCCCCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC1(F)CC([SiH](C=CCl)C2CC(F)(F)C2(F)F)C1(F)F,Silicon PFASs,Others
FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CO[Si](CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,Silicon PFASs,Others
FC(F)(F)OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(N)c1,Side-chain aromatics,Others
Fc1c(F)c(F)c(C(F)(F)F)c(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)c1F,Side-chain aromatics,Others
CC(C)=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(=C(C(F)(F)F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
N#CC(F)(F)OC(F)(F)C(F)(F)I,Other aliphatics,Others
CCOC(=O)C(F)(F)OC(F)(F)C(F)(F)I,Other aliphatics,Others
NC(=O)C(F)(F)OC(F)(F)C(F)(F)I,Other aliphatics,Others
N=C(N)C(F)(F)OC(F)(F)C(F)(F)I,Other aliphatics,Others
O=[P+](OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
FC(I)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1cccnc1C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
FC(C(F)=C(F)C(F)(F)C(F)(F)F)=C(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC(C)(C)C(=O)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=S(=O)(CCCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(C#Cc1ccccc1)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,Side-chain aromatics,Others
C[Si](C)(C)OC(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
FC1(F)N2CCN(CC2)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C(CC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)c1ccc(Cl)s1,Side-chain aromatics,Others
FC(F)(F)c1oc(C(F)(F)C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,Side-chain aromatics,Others
CCCCCCC(I)=CC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(I)c1ccccc1,Side-chain aromatics,Others
O=C(Cl)C(F)(F)C(F)(F)OS(=O)(=O)F,Other aliphatics,Others
O=C(Oc1cccc(-c2ccccc2)c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
FC(=CI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
C=Cc1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CC(C=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(OOC(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
CC#C[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
CC(=O)Nc1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
Oc1ccc(CC(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,Side-chain aromatics,Others
CCSC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=C(C)C(=O)OCC(F)(Cl)C(F)(F)F,Other aliphatics,Others
C=C(C)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CC(C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(Oc1ccc(Cl)cc1)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
C=C(C)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CC(C)=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,SFAs
OC(O)(O)C(O)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C#COc1ccccc1,Side-chain aromatics,Others
OCCSC(F)=C(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
CCCCC(OP(=O)(OCC)OCC)=C(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCOP(=O)(OCC)OC(CCC(C)C)=C(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCC(CC)CCC(OP(=O)(O)O)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(O)CCCNC(=O)C(F)(Br)C(F)(F)F,Other aliphatics,Others
CCN(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)CCO,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(I)CCl,Other aliphatics,Others
C=C(C)C(=O)OCC(F)(F)C(F)(Cl)Cl,Other aliphatics,Others
O=C(O)CCCCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,SFAs
CCCCCCCCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cnc[nH]1,Side-chain aromatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)S(=O)O,Other aliphatics,PACF-based substances
CC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,SFAs
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=C(Oc1ncccn1)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
COC(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC1=C(F)C(F)(F)C(F)(C(F)F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
C=Cc1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)c1ccc(O)cc1,Side-chain aromatics,Others
CCOP(=O)(OCC)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC1(F)OOC(F)(C(F)(F)F)O1,"Other aliphatics, cyclic","Others, cyclic"
C=Cc1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F,Side-chain aromatics,Others
FC(F)(F)C(F)(F)COCCCCCCCCCCCS,Other aliphatics,Others
CCO[Si](OCC)(OCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F,Silicon PFASs,Others
CCCCC(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(Br)C(F)(F)CCCCC(F)(F)C(F)(F)Br,Other aliphatics,Others
C=C(C#N)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
OCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
O=S(=O)(NCC[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PASF-based substances
CCOC(OCC)[SiH2]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
CO[Si](CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,Silicon PFASs,Others
O=NC(F)(F)C(F)(F)C(F)(F)N=O,Other aliphatics,Others
OCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(=CC(F)(F)C(F)(F)F)/N=N/c1ccccc1,Side-chain aromatics,Others
FC(=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=CC(=O)OCCOC(F)(F)C(F)(F)CC(F)(F)F,Other aliphatics,Others
CO[Si](CCCSC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,Silicon PFASs,Others
CCOC(=O)COCC(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=C(O)c1c(C(=O)O)c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(C(=O)O)c(C(=O)O)c1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
O=[N+]([O-])c1cc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc([N+](=O)[O-])c1,Side-chain aromatics,Others
O=C(c1ccc(F)cc1)c1ccc(C(F)(F)C(F)(F)F)cc1Cl,Side-chain aromatics,Others
CCCCCCCCCCCCCC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1cc(CCl)ccc1CCl,Side-chain aromatics,Others
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)CCl,Other aliphatics,PACF-based substances
OCC(I)CC(F)(Cl)C(F)(F)Cl,PFAS derivatives,PFAS halogen derivatives
C=CCN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C=C,Other aliphatics,Others
Cc1cc(OCC(F)(F)C(F)(F)C(F)(F)F)cc[n+]1C,Side-chain aromatics,Others
FC(F)(F)C(Br)(Br)C(F)(F)C(F)(F)Br,Other aliphatics,Others
C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F,Other aliphatics,Others
O=C(C(F)(F)C(F)(F)F)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,Silicon PFASs,Others
FC(F)(F)N(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)c1cc2ccccc2s1,Side-chain aromatics,Others
O=C(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN=C(Cl)Cl,Other aliphatics,Others
CCO[Si](OCC)(OCC)C(F)(C(F)(F)F)S(=O)(=O)F,Silicon PFASs,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CBr,Other aliphatics,Others
O=C1C=CC(C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)O1,"Other aliphatics, cyclic","Others, cyclic"
O=C(OCc1c([N+](=O)[O-])cccc1[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
O=C1CCCN1C(F)(F)C(F)(F)N1CCCC1=O,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C(F)(F)C(F)(F)C1CCOC1,"Other aliphatics, cyclic","Others, cyclic"
C=CCNC(=O)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1ccc(CC2CO2)cc1,Side-chain aromatics,Others
C=CC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC[N+](CC)(CC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)F,Other aliphatics,Others
CC(C)(O)C(I)=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CN(C)c1ccc(/N=N/c2ccc(C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,Side-chain aromatics,Others
O=c1oc(C(F)(F)C(F)(Cl)Cl)nc2ccccc12,Side-chain aromatics,Others
O=C(NCCO)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
